Step,Loss,LR,Gate_Values
10,9.7802,0.000004,"[0.499,0.502,0.499]"
20,9.7414,0.000007,"[0.498,0.502,0.502]"
30,9.6510,0.000010,"[0.498,0.501,0.502]"
40,9.5533,0.000013,"[0.498,0.500,0.503]"
50,9.4153,0.000016,"[0.497,0.500,0.502]"
60,9.2477,0.000019,"[0.497,0.499,0.499]"
70,9.1183,0.000022,"[0.496,0.498,0.497]"
80,8.9403,0.000025,"[0.496,0.498,0.494]"
90,8.7546,0.000028,"[0.496,0.500,0.493]"
100,8.6186,0.000031,"[0.496,0.500,0.493]"
110,8.4525,0.000034,"[0.494,0.500,0.493]"
120,8.2726,0.000037,"[0.493,0.498,0.493]"
130,8.1804,0.000040,"[0.492,0.493,0.492]"
140,7.9300,0.000043,"[0.489,0.492,0.492]"
150,7.7785,0.000046,"[0.485,0.492,0.489]"
160,7.7341,0.000049,"[0.483,0.489,0.490]"
170,7.5947,0.000052,"[0.483,0.486,0.493]"
180,7.5413,0.000055,"[0.480,0.483,0.491]"
190,7.4874,0.000058,"[0.477,0.482,0.488]"
200,7.4135,0.000061,"[0.475,0.477,0.485]"
210,7.3211,0.000064,"[0.474,0.476,0.484]"
220,7.2484,0.000067,"[0.472,0.472,0.484]"
230,7.2157,0.000070,"[0.469,0.469,0.484]"
240,7.2189,0.000073,"[0.466,0.466,0.483]"
250,7.0755,0.000076,"[0.464,0.466,0.483]"
260,7.0091,0.000079,"[0.461,0.467,0.483]"
270,7.0419,0.000082,"[0.461,0.465,0.483]"
280,6.9686,0.000085,"[0.458,0.462,0.479]"
290,6.8974,0.000088,"[0.459,0.462,0.476]"
300,6.8823,0.000091,"[0.458,0.462,0.474]"
310,6.8216,0.000094,"[0.458,0.461,0.479]"
320,6.7966,0.000097,"[0.456,0.462,0.479]"
330,6.8089,0.000100,"[0.453,0.460,0.476]"
340,6.7151,0.000103,"[0.450,0.457,0.477]"
350,6.7422,0.000106,"[0.451,0.457,0.476]"
360,6.6402,0.000109,"[0.449,0.457,0.474]"
370,6.6756,0.000112,"[0.448,0.455,0.474]"
380,6.5346,0.000115,"[0.445,0.451,0.474]"
390,6.5805,0.000118,"[0.446,0.449,0.473]"
400,6.6261,0.000121,"[0.447,0.449,0.473]"
410,6.3797,0.000124,"[0.446,0.451,0.466]"
420,6.3807,0.000127,"[0.448,0.451,0.464]"
430,6.3401,0.000130,"[0.441,0.450,0.468]"
440,6.2500,0.000133,"[0.441,0.450,0.464]"
450,6.2913,0.000136,"[0.441,0.452,0.464]"
460,6.2426,0.000139,"[0.439,0.450,0.462]"
470,6.2082,0.000142,"[0.433,0.448,0.456]"
480,6.1624,0.000145,"[0.427,0.447,0.455]"
490,6.2341,0.000148,"[0.445,0.454,0.460]"
500,6.1107,0.000151,"[0.425,0.444,0.454]"
510,6.1208,0.000154,"[0.431,0.445,0.453]"
520,5.9405,0.000157,"[0.425,0.444,0.453]"
530,6.2287,0.000160,"[0.427,0.441,0.451]"
540,5.9289,0.000163,"[0.415,0.440,0.450]"
550,6.0972,0.000166,"[0.423,0.443,0.449]"
560,6.0973,0.000169,"[0.414,0.437,0.445]"
570,5.9955,0.000172,"[0.414,0.442,0.442]"
580,5.8703,0.000175,"[0.409,0.431,0.443]"
590,5.9791,0.000178,"[0.410,0.431,0.440]"
600,5.9521,0.000181,"[0.406,0.434,0.444]"
610,5.9731,0.000184,"[0.409,0.428,0.438]"
620,5.9872,0.000187,"[0.397,0.426,0.435]"
630,5.9197,0.000190,"[0.395,0.428,0.434]"
640,5.8011,0.000193,"[0.393,0.426,0.434]"
650,5.7962,0.000196,"[0.395,0.431,0.432]"
660,5.8243,0.000199,"[0.384,0.425,0.430]"
670,5.8479,0.000202,"[0.391,0.421,0.426]"
680,5.7251,0.000205,"[0.381,0.416,0.428]"
690,5.9801,0.000208,"[0.389,0.427,0.426]"
700,5.8548,0.000211,"[0.392,0.422,0.423]"
710,5.6211,0.000214,"[0.394,0.423,0.423]"
720,5.6256,0.000217,"[0.377,0.417,0.421]"
730,5.6814,0.000220,"[0.378,0.413,0.417]"
740,5.6379,0.000223,"[0.382,0.420,0.413]"
750,5.7205,0.000226,"[0.378,0.416,0.414]"
760,5.4677,0.000229,"[0.375,0.405,0.404]"
770,5.6192,0.000232,"[0.391,0.416,0.414]"
780,5.5247,0.000235,"[0.368,0.417,0.412]"
790,5.5353,0.000238,"[0.362,0.410,0.406]"
800,5.5774,0.000241,"[0.369,0.404,0.401]"
810,5.5980,0.000244,"[0.365,0.412,0.401]"
820,5.4707,0.000247,"[0.363,0.396,0.399]"
830,5.4852,0.000250,"[0.370,0.408,0.397]"
840,5.5861,0.000253,"[0.370,0.404,0.396]"
850,5.3796,0.000256,"[0.356,0.403,0.388]"
860,5.4396,0.000259,"[0.366,0.396,0.395]"
870,5.3496,0.000262,"[0.362,0.390,0.387]"
880,5.3923,0.000265,"[0.367,0.406,0.391]"
890,5.4602,0.000268,"[0.371,0.414,0.390]"
900,5.4618,0.000271,"[0.371,0.396,0.383]"
