Step,Final_CE,Align_Loss,Halt_Loss,LR,Diffs,Halts
10,10.0337,0.0600,2.7930,0.000005,"[0.07,0.08,0.08]","[0.52,0.55,0.28]"
20,9.8273,0.0618,2.5636,0.000011,"[0.07,0.08,0.08]","[0.55,0.48,0.17]"
30,9.5627,0.0862,2.2079,0.000017,"[0.08,0.09,0.10]","[0.55,0.43,0.26]"
40,9.2767,0.1472,1.8153,0.000023,"[0.09,0.12,0.14]","[0.55,0.41,0.23]"
50,9.0297,0.2495,1.4820,0.000029,"[0.11,0.14,0.17]","[0.53,0.40,0.22]"
60,8.7107,0.4156,1.1603,0.000035,"[0.12,0.14,0.21]","[0.52,0.39,0.23]"
70,8.3395,0.6063,0.9332,0.000041,"[0.12,0.14,0.24]","[0.50,0.42,0.24]"
80,7.9434,0.8661,0.7381,0.000047,"[0.12,0.14,0.29]","[0.50,0.41,0.25]"
90,7.5411,1.1309,0.5708,0.000053,"[0.14,0.15,0.32]","[0.49,0.41,0.24]"
100,7.0759,1.4020,0.4538,0.000059,"[0.14,0.15,0.36]","[0.48,0.40,0.26]"
110,6.9142,1.5959,0.3968,0.000065,"[0.15,0.15,0.39]","[0.49,0.40,0.28]"
120,6.6106,1.6445,0.3157,0.000071,"[0.16,0.16,0.38]","[0.48,0.39,0.25]"
130,6.4281,1.7026,0.2542,0.000077,"[0.15,0.16,0.39]","[0.48,0.41,0.25]"
140,6.4545,1.6512,0.2244,0.000083,"[0.14,0.15,0.38]","[0.48,0.41,0.23]"
150,6.1402,1.7083,0.2265,0.000089,"[0.13,0.15,0.41]","[0.48,0.44,0.26]"
160,6.1901,1.6799,0.2052,0.000095,"[0.12,0.16,0.42]","[0.50,0.44,0.27]"
170,5.8971,1.5179,0.1740,0.000101,"[0.11,0.15,0.40]","[0.48,0.43,0.25]"
180,6.1584,1.5156,0.1900,0.000107,"[0.11,0.15,0.42]","[0.50,0.46,0.27]"
190,5.7760,1.4822,0.1606,0.000113,"[0.11,0.16,0.44]","[0.47,0.45,0.26]"
200,5.5288,1.3286,0.1523,0.000119,"[0.11,0.16,0.45]","[0.47,0.44,0.26]"
210,5.6763,1.3962,0.2331,0.000125,"[0.10,0.17,0.48]","[0.48,0.45,0.28]"
220,5.6220,1.2587,0.1394,0.000131,"[0.11,0.17,0.48]","[0.48,0.44,0.26]"
230,5.5290,1.1516,0.1459,0.000137,"[0.11,0.17,0.50]","[0.47,0.46,0.25]"
240,5.4248,1.2428,0.1591,0.000143,"[0.10,0.17,0.53]","[0.49,0.45,0.27]"
250,5.1760,1.2122,0.1478,0.000149,"[0.10,0.17,0.57]","[0.48,0.45,0.26]"
260,5.4527,1.1277,0.1640,0.000155,"[0.10,0.17,0.60]","[0.48,0.46,0.26]"
270,5.0173,1.1307,0.1350,0.000161,"[0.10,0.17,0.62]","[0.49,0.47,0.26]"
280,5.1648,1.1609,0.2107,0.000167,"[0.10,0.17,0.67]","[0.48,0.46,0.28]"
290,5.0072,1.0871,0.1759,0.000173,"[0.10,0.18,0.73]","[0.47,0.45,0.27]"
300,5.1654,1.1134,0.1500,0.000179,"[0.10,0.17,0.80]","[0.47,0.46,0.27]"
310,4.9938,1.0313,0.2042,0.000185,"[0.10,0.18,0.86]","[0.47,0.44,0.28]"
320,4.9358,1.0196,0.1346,0.000191,"[0.10,0.17,0.89]","[0.48,0.45,0.26]"
330,4.9387,0.9777,0.1449,0.000197,"[0.10,0.17,0.98]","[0.48,0.46,0.27]"
